city,year,yield,station_id,MESS_DATUM,QN_3,FX,FM,QN_4,RSK,RSKF,SDK,SHK_TAG,NM,VPM,PM,TMK,UPM,TXK,TNK,TGK
"Köln, kreisfreie Stadt",1979,6.4,2667,19790101,5.0,9.3,2.2,5,1.1,7.0,1.0,18.0,4.3,1.8,1006.0,-14.2,84.0,-9.3,-21.7,-22.3
"Köln, kreisfreie Stadt",1979,6.4,2667,19790102,5.0,7.3,3.2,5,2.4,7.0,2.8,16.0,6.0,2.5,1009.8,-9.4,85.0,-6.9,-18.2,-21.3
"Köln, kreisfreie Stadt",1979,6.4,2667,19790103,5.0,5.1,1.7,5,0.0,7.0,1.5,21.0,7.0,2.9,1010.8,-7.6,84.0,-4.4,-12.0,-20.0
"Köln, kreisfreie Stadt",1979,6.4,2667,19790104,5.0,6.7,2.4,5,0.0,0.0,1.7,19.0,4.3,2.4,1003.2,-10.7,84.0,-6.2,-14.4,-13.5
"Köln, kreisfreie Stadt",1979,6.4,2667,19790105,5.0,4.0,1.3,5,0.0,0.0,3.4,16.0,5.7,1.8,1013.6,-13.2,82.0,-9.2,-20.2,-21.6
"Köln, kreisfreie Stadt",1979,6.4,2667,19790106,5.0,6.8,2.8,5,0.0,0.0,6.6,15.0,2.3,2.1,1019.2,-11.8,81.0,-6.6,-18.1,-22.3
"Köln, kreisfreie Stadt",1979,6.4,2667,19790107,5.0,7.9,4.7,5,6.6,6.0,4.2,14.0,6.0,2.9,1018.7,-5.7,76.0,-3.4,-14.2,-17.6
"Köln, kreisfreie Stadt",1979,6.4,2667,19790108,5.0,6.4,3.5,5,8.6,8.0,0.0,10.0,8.0,5.2,1010.0,-0.4,89.0,0.1,-3.6,-4.0
"Köln, kreisfreie Stadt",1979,6.4,2667,19790109,5.0,5.7,2.3,5,8.9,8.0,0.0,14.0,7.3,6.2,999.1,0.8,97.0,1.5,-0.4,-0.8
"Köln, kreisfreie Stadt",1979,6.4,2667,19790110,5.0,14.4,5.9,5,7.5,8.0,0.0,17.0,7.0,5.3,981.6,0.7,85.0,2.0,-3.6,-6.2
"Köln, kreisfreie Stadt",1979,6.4,2667,19790111,5.0,13.4,4.9,5,3.4,8.0,0.0,21.0,8.0,5.9,971.4,1.1,91.0,2.2,-0.2,-0.3
"Köln, kreisfreie Stadt",1979,6.4,2667,19790112,5.0,12.9,5.8,5,4.3,8.0,0.3,19.0,6.7,5.8,989.0,1.4,85.0,2.0,0.2,-0.4
"Köln, kreisfreie Stadt",1979,6.4,2667,19790113,5.0,10.8,4.1,5,0.6,7.0,3.0,16.0,6.3,5.0,1006.4,0.3,79.0,2.0,-0.5,-1.4
"Köln, kreisfreie Stadt",1979,6.4,2667,19790114,5.0,4.6,1.7,5,0.0,7.0,5.8,15.0,4.7,3.8,1018.3,-4.8,80.0,1.5,-9.2,-5.3
"Köln, kreisfreie Stadt",1979,6.4,2667,19790115,5.0,3.1,1.7,5,0.0,0.0,6.9,14.0,2.7,3.0,1021.8,-7.4,85.0,-2.2,-13.6,-15.6
"Köln, kreisfreie Stadt",1979,6.4,2667,19790116,5.0,3.2,1.3,5,0.0,6.0,0.5,13.0,6.7,3.4,1021.6,-7.0,87.0,-3.8,-10.0,-8.1
"Köln, kreisfreie Stadt",1979,6.4,2667,19790117,5.0,6.7,1.3,5,0.1,8.0,0.1,13.0,7.7,3.6,1012.3,-4.0,82.0,-2.5,-12.7,-14.3
"Köln, kreisfreie Stadt",1979,6.4,2667,19790118,5.0,10.3,4.1,5,0.0,0.0,4.0,13.0,3.7,3.5,1009.4,-4.2,77.0,-2.2,-5.3,-7.7
"Köln, kreisfreie Stadt",1979,6.4,2667,19790119,5.0,10.8,6.5,5,0.0,0.0,5.4,13.0,3.7,3.6,1007.1,-3.1,73.0,-0.4,-5.4,-7.5
"Köln, kreisfreie Stadt",1979,6.4,2667,19790120,5.0,9.0,5.0,5,5.2,8.0,0.0,13.0,5.7,4.1,1007.4,-2.4,81.0,-0.9,-7.2,-10.7
"Köln, kreisfreie Stadt",1979,6.4,2667,19790121,5.0,6.2,3.8,5,0.0,8.0,0.0,13.0,8.0,4.6,1012.4,-2.5,90.0,-0.8,-3.2,-2.7
"Köln, kreisfreie Stadt",1979,6.4,2667,19790122,5.0,8.7,4.1,5,6.7,6.0,0.0,13.0,8.0,4.4,1005.9,-2.0,86.0,-0.2,-5.0,-4.6
"Köln, kreisfreie Stadt",1979,6.4,2667,19790123,5.0,10.8,4.5,5,5.6,8.0,0.0,13.0,8.0,6.5,994.2,2.0,93.0,3.5,-1.1,-2.0
"Köln, kreisfreie Stadt",1979,6.4,2667,19790124,5.0,12.9,3.5,5,3.4,7.0,0.0,12.0,8.0,5.7,995.0,-0.1,93.0,3.3,-0.8,-1.0
"Köln, kreisfreie Stadt",1979,6.4,2667,19790125,5.0,8.2,3.6,5,0.0,0.0,0.0,16.0,7.0,4.2,991.5,-1.6,76.0,0.6,-4.0,-7.6
"Köln, kreisfreie Stadt",1979,6.4,2667,19790126,5.0,7.7,3.7,5,0.5,8.0,1.0,15.0,6.7,4.7,984.6,0.2,76.0,1.7,-3.1,-6.6
"Köln, kreisfreie Stadt",1979,6.4,2667,19790127,5.0,5.1,2.1,5,0.2,7.0,0.0,15.0,6.7,4.7,987.5,-0.7,81.0,0.8,-2.6,-3.9
"Köln, kreisfreie Stadt",1979,6.4,2667,19790128,5.0,4.6,0.8,5,0.0,0.0,0.0,15.0,6.3,4.6,987.5,-2.6,93.0,-0.3,-5.2,-6.3
"Köln, kreisfreie Stadt",1979,6.4,2667,19790129,5.0,7.1,4.1,5,0.0,8.0,0.3,15.0,6.3,5.3,987.9,2.1,77.0,3.5,-4.6,-7.2
