district,year,yield
"Plön, Landkreis",1983,5.29
"Stormarn, Landkreis",1979,5.81
"Stormarn, Landkreis",1980,5.74
"Stormarn, Landkreis",1981,6.32
"Stormarn, Landkreis",1983,5.29
"Braunschweig, kreisfreie Stadt",1994,6.7
"Braunschweig, kreisfreie Stadt",1996,7.4
"Braunschweig, kreisfreie Stadt",1999,6.95417523747256
"Braunschweig, kreisfreie Stadt",2010,9.3
"Braunschweig, kreisfreie Stadt",2011,10.6
"Braunschweig, kreisfreie Stadt",2012,11.2
"Braunschweig, kreisfreie Stadt",2013,9.2
"Braunschweig, kreisfreie Stadt",2014,11.3
"Braunschweig, kreisfreie Stadt",2015,10.1032978648727
"Braunschweig, kreisfreie Stadt",2021,10.68
"Wolfsburg, kreisfreie Stadt",1983,2.93
"Wolfsburg, kreisfreie Stadt",1985,3.22
"Wolfsburg, kreisfreie Stadt",1986,3.38
"Wolfsburg, kreisfreie Stadt",1994,5.44
"Wolfsburg, kreisfreie Stadt",1996,5.6
"Wolfsburg, kreisfreie Stadt",1999,7.60477499750228
"Wolfsburg, kreisfreie Stadt",2010,9.1
"Wolfsburg, kreisfreie Stadt",2011,10.8
"Wolfsburg, kreisfreie Stadt",2013,8.8
"Wolfsburg, kreisfreie Stadt",2014,9.72
"Wolfsburg, kreisfreie Stadt",2015,9.76478534418949
"Gifhorn, Landkreis",1979,5.33
"Gifhorn, Landkreis",1980,3.4
"Gifhorn, Landkreis",1982,4.0
"Gifhorn, Landkreis",1985,6.5
"Gifhorn, Landkreis",1986,7.15
"Gifhorn, Landkreis",1988,7.67
"Gifhorn, Landkreis",1989,7.0
"Gifhorn, Landkreis",1990,6.1
"Gifhorn, Landkreis",1991,6.19
"Gifhorn, Landkreis",1993,6.31
"Gifhorn, Landkreis",1994,6.17
"Gifhorn, Landkreis",1995,6.64
"Gifhorn, Landkreis",1996,6.55
"Gifhorn, Landkreis",1997,7.36
"Gifhorn, Landkreis",1998,7.17
"Gifhorn, Landkreis",1999,7.68186080792438
"Gifhorn, Landkreis",2000,7.61
"Gifhorn, Landkreis",2001,8.16
"Gifhorn, Landkreis",2002,8.38
"Gifhorn, Landkreis",2003,7.02310291032203
"Gifhorn, Landkreis",2004,7.88
"Gifhorn, Landkreis",2005,8.35
"Gifhorn, Landkreis",2006,7.54
"Gifhorn, Landkreis",2007,9.32
"Gifhorn, Landkreis",2008,9.7
"Gifhorn, Landkreis",2009,8.9
"Gifhorn, Landkreis",2010,9.1
"Gifhorn, Landkreis",2011,10.1
"Gifhorn, Landkreis",2012,10.1
"Gifhorn, Landkreis",2013,8.6
"Gifhorn, Landkreis",2014,10.19
"Gifhorn, Landkreis",2015,10.3493850471054
"Gifhorn, Landkreis",2016,9.94
"Gifhorn, Landkreis",2017,10.81
"Gifhorn, Landkreis",2018,6.21
"Gifhorn, Landkreis",2019,7.15
"Gifhorn, Landkreis",2021,9.46
"Goslar, Landkreis",1994,6.26
"Goslar, Landkreis",1996,7.71
"Goslar, Landkreis",1999,7.97000419208557
"Goslar, Landkreis",2010,9.5
"Goslar, Landkreis",2011,10.4
"Goslar, Landkreis",2012,10.8
"Goslar, Landkreis",2013,9.2
"Goslar, Landkreis",2014,10.01
"Goslar, Landkreis",2015,9.91104261506411
"Helmstedt, Landkreis",1982,4.9
"Helmstedt, Landkreis",1986,5.65
"Helmstedt, Landkreis",1994,6.82
"Helmstedt, Landkreis",1996,8.91
"Helmstedt, Landkreis",1999,7.32200375566385
"Helmstedt, Landkreis",2010,9.2
"Helmstedt, Landkreis",2011,10.7
"Helmstedt, Landkreis",2012,11.5
"Helmstedt, Landkreis",2013,8.9
"Helmstedt, Landkreis",2014,12.0
"Helmstedt, Landkreis",2015,10.2754599975529
"Northeim, Landkreis",1994,5.85
"Northeim, Landkreis",1996,6.73
"Northeim, Landkreis",1999,7.98541929711895
"Northeim, Landkreis",2010,8.7
"Northeim, Landkreis",2011,10.5
"Northeim, Landkreis",2012,10.9
"Northeim, Landkreis",2013,9.1
"Northeim, Landkreis",2014,10.3
"Northeim, Landkreis",2015,9.98174897821964
"Peine, Landkreis",1994,6.32
"Peine, Landkreis",1996,6.73
"Peine, Landkreis",1999,7.88540157527417
"Peine, Landkreis",2010,9.3
"Peine, Landkreis",2011,10.7
"Peine, Landkreis",2012,11.2
"Peine, Landkreis",2013,8.9
"Peine, Landkreis",2014,11.88
"Peine, Landkreis",2015,10.355338108431
"Peine, Landkreis",2020,9.39
"Peine, Landkreis",2021,10.8
"Wolfenbüttel, Landkreis",1994,7.27
"Wolfenbüttel, Landkreis",1996,6.82
"Wolfenbüttel, Landkreis",1999,7.21474315138661
"Wolfenbüttel, Landkreis",2005,9.6
"Wolfenbüttel, Landkreis",2010,8.7
"Wolfenbüttel, Landkreis",2011,10.7
"Wolfenbüttel, Landkreis",2012,11.2
"Wolfenbüttel, Landkreis",2013,8.7
"Wolfenbüttel, Landkreis",2014,11.23
"Wolfenbüttel, Landkreis",2015,10.1964280775437
"Wolfenbüttel, Landkreis",2018,5.57
"Wolfenbüttel, Landkreis",2019,8.69
"Wolfenbüttel, Landkreis",2020,7.66
"Wolfenbüttel, Landkreis",2021,9.37
"Göttingen, Landkreis",1994,5.91197989082643
"Göttingen, Landkreis",1996,6.70352684819685
"Göttingen, Landkreis",1999,7.38436123032462
"Göttingen, Landkreis",2000,9.15
"Göttingen, Landkreis",2001,8.81
"Göttingen, Landkreis",2002,9.69
"Göttingen, Landkreis",2003,8.2696613984688
"Göttingen, Landkreis",2004,8.45
"Göttingen, Landkreis",2005,8.44
"Göttingen, Landkreis",2006,7.93
"Göttingen, Landkreis",2007,8.56
"Göttingen, Landkreis",2010,9.4187540364648
"Göttingen, Landkreis",2011,10.4
"Göttingen, Landkreis",2012,10.7370351122586
"Göttingen, Landkreis",2013,9.2
"Göttingen, Landkreis",2014,10.02
"Göttingen, Landkreis",2015,9.91349934390442
"Region Hannover, Landkreis",1982,5.2
"Region Hannover, Landkreis",1983,5.13
"Region Hannover, Landkreis",1984,5.76
"Region Hannover, Landkreis",1985,5.61
"Region Hannover, Landkreis",1986,6.29
"Region Hannover, Landkreis",1988,6.98
"Region Hannover, Landkreis",1989,6.07
"Region Hannover, Landkreis",1990,6.3
"Region Hannover, Landkreis",1991,6.8
"Region Hannover, Landkreis",1993,7.22
"Region Hannover, Landkreis",1994,6.48527494745271
"Region Hannover, Landkreis",1995,7.28
"Region Hannover, Landkreis",1996,6.76
"Region Hannover, Landkreis",1997,8.3
"Region Hannover, Landkreis",1998,7.6
"Region Hannover, Landkreis",1999,8.06072830083987
"Region Hannover, Landkreis",2000,8.86
"Region Hannover, Landkreis",2001,8.55
"Region Hannover, Landkreis",2002,8.97
"Region Hannover, Landkreis",2003,7.18154661809989
"Region Hannover, Landkreis",2004,8.38
"Region Hannover, Landkreis",2005,8.68
"Region Hannover, Landkreis",2006,7.87
"Region Hannover, Landkreis",2007,9.09
"Region Hannover, Landkreis",2008,9.5
"Region Hannover, Landkreis",2009,9.3
"Region Hannover, Landkreis",2010,9.2
"Region Hannover, Landkreis",2011,10.2
"Region Hannover, Landkreis",2012,10.2
"Region Hannover, Landkreis",2013,8.7
"Region Hannover, Landkreis",2014,10.07
"Region Hannover, Landkreis",2015,10.2393921541576
"Region Hannover, Landkreis",2016,9.0
"Region Hannover, Landkreis",2017,8.74
"Region Hannover, Landkreis",2018,5.21
"Region Hannover, Landkreis",2019,6.45
"Region Hannover, Landkreis",2020,8.06
"Region Hannover, Landkreis",2021,10.11
"Diepholz, Landkreis",1979,5.72
"Diepholz, Landkreis",1981,6.84
"Diepholz, Landkreis",1982,6.52
"Diepholz, Landkreis",1983,5.09
"Diepholz, Landkreis",1984,5.61
"Diepholz, Landkreis",1985,6.28
"Diepholz, Landkreis",1986,6.16
"Diepholz, Landkreis",1987,4.79
"Diepholz, Landkreis",1988,6.71
"Diepholz, Landkreis",1989,6.96
"Diepholz, Landkreis",1990,6.7
"Diepholz, Landkreis",1991,6.1
"Diepholz, Landkreis",1992,6.08
"Diepholz, Landkreis",1993,7.11
"Diepholz, Landkreis",1994,6.08
"Diepholz, Landkreis",1995,7.28
"Diepholz, Landkreis",1996,6.55
"Diepholz, Landkreis",1997,8.42
"Diepholz, Landkreis",1998,7.33
"Diepholz, Landkreis",1999,7.83554869433648
"Diepholz, Landkreis",2000,8.56
"Diepholz, Landkreis",2001,8.6
"Diepholz, Landkreis",2002,8.36
"Diepholz, Landkreis",2003,6.7006559934283
"Diepholz, Landkreis",2004,8.4
"Diepholz, Landkreis",2005,8.58
"Diepholz, Landkreis",2006,7.83
"Diepholz, Landkreis",2007,9.15
"Diepholz, Landkreis",2008,9.5
"Diepholz, Landkreis",2009,9.2
"Diepholz, Landkreis",2010,9.0
"Diepholz, Landkreis",2011,10.5
"Diepholz, Landkreis",2012,10.2
"Diepholz, Landkreis",2013,8.8
"Diepholz, Landkreis",2014,10.44
"Diepholz, Landkreis",2015,10.3113326517676
"Diepholz, Landkreis",2016,8.48
"Diepholz, Landkreis",2017,11.96
"Diepholz, Landkreis",2021,9.44
"Hameln-Pyrmont, Landkreis",1993,7.35
"Hameln-Pyrmont, Landkreis",1994,6.56
"Hameln-Pyrmont, Landkreis",1996,6.88
"Hameln-Pyrmont, Landkreis",1997,7.87
"Hameln-Pyrmont, Landkreis",1998,7.31
"Hameln-Pyrmont, Landkreis",1999,8.13744124861404
"Hameln-Pyrmont, Landkreis",2000,8.37
"Hameln-Pyrmont, Landkreis",2002,8.57
"Hameln-Pyrmont, Landkreis",2010,8.6
"Hameln-Pyrmont, Landkreis",2011,10.6
"Hameln-Pyrmont, Landkreis",2012,11.0
"Hameln-Pyrmont, Landkreis",2013,8.8
"Hameln-Pyrmont, Landkreis",2015,10.133326713653
"Hildesheim, Landkreis",1994,8.24
"Hildesheim, Landkreis",1996,7.25
"Hildesheim, Landkreis",1999,8.91829958051165
"Hildesheim, Landkreis",2007,9.05
"Hildesheim, Landkreis",2010,9.0
"Hildesheim, Landkreis",2011,10.6
"Hildesheim, Landkreis",2012,11.1
"Hildesheim, Landkreis",2013,8.8
"Hildesheim, Landkreis",2014,10.97
"Hildesheim, Landkreis",2015,10.1448274877889
"Hildesheim, Landkreis",2020,10.47
"Holzminden, Landkreis",1994,7.65
"Holzminden, Landkreis",1996,6.81
"Holzminden, Landkreis",1999,8.95009031015437
"Holzminden, Landkreis",2005,9.09
"Holzminden, Landkreis",2010,9.2
"Holzminden, Landkreis",2011,10.5
"Holzminden, Landkreis",2012,10.9
"Holzminden, Landkreis",2013,9.1
"Holzminden, Landkreis",2014,10.23
"Holzminden, Landkreis",2015,9.96348294508047
"Nienburg (Weser), Landkreis",1979,6.1
"Nienburg (Weser), Landkreis",1980,5.58
"Nienburg (Weser), Landkreis",1981,5.49
"Nienburg (Weser), Landkreis",1982,6.15
"Nienburg (Weser), Landkreis",1983,5.17
"Nienburg (Weser), Landkreis",1984,5.74
"Nienburg (Weser), Landkreis",1985,6.8
"Nienburg (Weser), Landkreis",1986,6.6
"Nienburg (Weser), Landkreis",1987,6.13
"Nienburg (Weser), Landkreis",1988,7.29
"Nienburg (Weser), Landkreis",1989,6.45
"Nienburg (Weser), Landkreis",1990,5.69
"Nienburg (Weser), Landkreis",1991,7.08
"Nienburg (Weser), Landkreis",1992,6.56
"Nienburg (Weser), Landkreis",1993,7.26
"Nienburg (Weser), Landkreis",1994,6.48
"Nienburg (Weser), Landkreis",1995,6.79
"Nienburg (Weser), Landkreis",1996,6.85
"Nienburg (Weser), Landkreis",1997,8.88
"Nienburg (Weser), Landkreis",1998,7.65
"Nienburg (Weser), Landkreis",1999,8.28722241872898
"Nienburg (Weser), Landkreis",2000,9.31
"Nienburg (Weser), Landkreis",2001,8.91
"Nienburg (Weser), Landkreis",2002,8.7
"Nienburg (Weser), Landkreis",2003,6.74246217299433
"Nienburg (Weser), Landkreis",2004,8.69
"Nienburg (Weser), Landkreis",2005,8.58
"Nienburg (Weser), Landkreis",2006,7.9
"Nienburg (Weser), Landkreis",2007,9.41
"Nienburg (Weser), Landkreis",2008,9.7
"Nienburg (Weser), Landkreis",2009,9.3
"Nienburg (Weser), Landkreis",2010,9.4
"Nienburg (Weser), Landkreis",2011,10.7
"Nienburg (Weser), Landkreis",2012,10.5
"Nienburg (Weser), Landkreis",2013,9.2
"Nienburg (Weser), Landkreis",2014,10.8
"Nienburg (Weser), Landkreis",2015,10.5814045566889
"Nienburg (Weser), Landkreis",2016,11.35
"Nienburg (Weser), Landkreis",2017,10.93
"Nienburg (Weser), Landkreis",2018,6.74
"Nienburg (Weser), Landkreis",2019,9.53
"Nienburg (Weser), Landkreis",2020,9.98
"Nienburg (Weser), Landkreis",2021,13.09
"Schaumburg, Landkreis",1979,6.4
"Schaumburg, Landkreis",1980,5.97
"Schaumburg, Landkreis",1981,7.28
"Schaumburg, Landkreis",1982,6.92
"Schaumburg, Landkreis",1983,7.23
"Schaumburg, Landkreis",1984,6.43
"Schaumburg, Landkreis",1985,6.59
"Schaumburg, Landkreis",1986,7.48
"Schaumburg, Landkreis",1987,6.2
"Schaumburg, Landkreis",1988,8.69
"Schaumburg, Landkreis",1989,8.38
"Schaumburg, Landkreis",1990,7.37
"Schaumburg, Landkreis",1991,7.42
"Schaumburg, Landkreis",1992,7.45
"Schaumburg, Landkreis",1993,7.7
"Schaumburg, Landkreis",1994,7.23
"Schaumburg, Landkreis",1995,7.92
"Schaumburg, Landkreis",1996,7.09
"Schaumburg, Landkreis",1997,8.54
"Schaumburg, Landkreis",1998,7.39
